Date,Opponent,Match Type,Server,In,Ace,Error (net or wide),Error (long),Any Error,Speed (#),Serve Number,Serve Location,Serve Desination,Seam,Serve Rating (1-3),Point Score?,Expected SO %,Expected PS%,Opp. Pass Rating
1/6/2024,Saint Francis,Scrimmage,Chris,0,0,0,1,1,50,2,1,NA,NA,0,0,1,0,FALSE
1/6/2024,Saint Francis,Scrimmage,Will,1,0,0,0,0,47,1,1,6,0,2,1,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Will,1,1,0,0,0,49,2,1,6,1,4,1,0,1,0
1/6/2024,Saint Francis,Scrimmage,Will,1,0,0,0,0,51,1,1,6,0,3,1,0.45,0.55,1
1/6/2024,Saint Francis,Scrimmage,Will,1,0,0,0,0,46,2,1,6,1,2,1,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Will,1,0,0,0,0,48,3,1,5,0,3,1,0.45,0.55,1
1/6/2024,Saint Francis,Scrimmage,Will,0,0,0,1,1,54,4,1,NA,NA,0,0,1,0,FALSE
1/6/2024,Saint Francis,Scrimmage,Campbell,1,0,0,0,0,38,1,1,5,0,2,0,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Max,1,0,0,0,0,47,1,1,6,0,1,0,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Nate,1,0,0,0,0,44,1,1,1,1,2,1,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Nate,1,0,0,0,0,51,2,1,6,0,2,0,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Chase,0,0,1,0,1,43,1,1,NA,NA,0,0,1,0,FALSE
1/6/2024,Saint Francis,Scrimmage,Chris,1,0,0,0,0,51,1,1,6,0,1,0,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Will,1,0,0,0,0,45,1,1,6,0,3,1,0.45,0.55,1
1/6/2024,Saint Francis,Scrimmage,Will,1,0,0,0,0,47,2,1,5,0,2,0,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Campbell,1,0,0,0,0,39,1,1,1,0,1,1,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Campbell,1,0,0,0,0,41,2,1,6,0,1,1,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Campbell,1,0,0,0,0,54,3,1,5,1,1,0,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Will,1,1,0,0,0,49,1,1,1,1,4,1,0,1,0
1/6/2024,Saint Francis,Scrimmage,Will,1,0,0,0,0,51,1,1,5,1,2,0,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Campbell,0,0,0,1,1,41,1,1,NA,NA,0,0,1,0,FALSE
1/6/2024,Saint Francis,Scrimmage,Andrew,1,0,0,0,0,33,1,5,5,1,1,1,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Andrew,1,1,0,0,0,31,2,5,5,1,4,1,0,1,0
1/6/2024,Saint Francis,Scrimmage,Andrew,1,0,0,0,0,30,1,5,5,1,2,1,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Andrew,1,0,0,0,0,34,2,5,5,1,2,1,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Andrew,1,0,0,0,0,32,3,5,5,1,1,1,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Andrew,1,0,0,0,0,33,4,5,5,1,2,1,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Andrew,1,0,0,0,0,32,5,5,5,0,1,0,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Tyler P,1,0,0,0,0,46,1,1,6,0,3,1,0.45,0.55,1
1/6/2024,Saint Francis,Scrimmage,Tyler P,0,0,0,1,1,49,2,1,NA,NA,0,0,1,0,FALSE
1/6/2024,Saint Francis,Scrimmage,Chase,1,1,0,0,0,41,1,1,1,1,4,1,0,1,0
1/6/2024,Saint Francis,Scrimmage,Chase,1,0,0,0,0,46,1,1,5,1,2,0,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Chris,0,0,1,0,1,41,1,1,NA,NA,0,0,1,0,FALSE
1/6/2024,Saint Francis,Scrimmage,Will,1,0,0,0,0,50,1,1,6,1,2,1,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Will,1,0,0,0,0,51,2,1,6,0,1,1,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Will,1,0,0,0,0,51,3,1,6,0,1,0,0.7,0.3,3
